INFO 2021-12-09 12:11:20,587 -  * Debugger PIN: 659-825-887
INFO 2021-12-09 12:11:20,799 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2021-12-09 12:11:25,390 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-09 12:11:25,413 - 127.0.0.1 - - [09/Dec/2021 12:11:25] "GET /index HTTP/1.1" 200 -
INFO 2021-12-09 12:11:25,750 - 127.0.0.1 - - [09/Dec/2021 12:11:25] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-09 12:11:25,778 - 127.0.0.1 - - [09/Dec/2021 12:11:25] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
INFO 2021-12-09 12:11:33,078 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-09 12:11:33,080 - 127.0.0.1 - - [09/Dec/2021 12:11:33] "GET /index?update=12%3A12&two=Test&covid-data=covid-data HTTP/1.1" 200 -
INFO 2021-12-09 12:11:33,102 - 127.0.0.1 - - [09/Dec/2021 12:11:33] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-09 12:12:33,140 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-09 12:12:33,140 - covid_data_handling.schedule_covid_updates: Calculating seconds
INFO 2021-12-09 12:12:33,142 - covid_dashboard.execute_update: Executing scheduled update
INFO 2021-12-09 12:12:33,143 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-09 12:12:33,638 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-09 12:12:34,300 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-09 12:12:34,300 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-09 12:12:34,303 - 127.0.0.1 - - [09/Dec/2021 12:12:34] "GET /index HTTP/1.1" 200 -
INFO 2021-12-09 12:12:34,328 - 127.0.0.1 - - [09/Dec/2021 12:12:34] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-09 12:13:34,367 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-09 12:13:34,370 - 127.0.0.1 - - [09/Dec/2021 12:13:34] "GET /index HTTP/1.1" 200 -
INFO 2021-12-09 12:13:34,394 - 127.0.0.1 - - [09/Dec/2021 12:13:34] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-09 12:14:34,417 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-09 12:14:34,419 - 127.0.0.1 - - [09/Dec/2021 12:14:34] "GET /index HTTP/1.1" 200 -
INFO 2021-12-09 12:14:34,440 - 127.0.0.1 - - [09/Dec/2021 12:14:34] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-09 12:15:34,460 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-09 12:15:34,464 - 127.0.0.1 - - [09/Dec/2021 12:15:34] "GET /index HTTP/1.1" 200 -
INFO 2021-12-09 12:15:34,487 - 127.0.0.1 - - [09/Dec/2021 12:15:34] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
